Well,slope,Status,Plate,Compound_id,lib_name,SMILES,Compound Name,SecName,slope_norm,Result
A1,0.06442857142857142,Negative,ex_plate2_run1,,,,,,1.209361561518354,Negative
A2,0.006476190476190516,Positive,ex_plate2_run1,,,,,,-3.2997218900633314,Positive
A3,0.042857142857142816,Sample,ex_plate2_run1,Compound_0320,example_library,COC(=O)C1=C(C)N(C)C(=O)N(C)C1c1cccc([N+](=O)[O-])c1,,,-0.4690400847975937,Sample
A4,0.04271428571428571,Sample,ex_plate2_run1,Compound_0321,example_library,c1ccc(-c2nc(C34CC5CC(CC(C5)C3)C4)co2)cc1,,,-0.4801553274884247,Sample
A5,0.046095238095238064,Sample,ex_plate2_run1,Compound_0322,example_library,O=S(=O)(O)NC1CCCCC1,Cyclamic acid,,-0.21709458380535385,Sample
A6,0.03938095238095236,Sample,ex_plate2_run1,Compound_0323,example_library,Cn1ncc2ccccc2c1=O,,,-0.7395109902745548,Sample
A7,0.05166666666666667,Sample,ex_plate2_run1,Compound_0324,example_library,CN(CCCNC(=O)CN(C)S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1,,,0.21639988113717795,Sample
A8,0.051999999999999984,Sample,ex_plate2_run1,Compound_0325,example_library,C=CCN(Cc1ccc(Br)s1)C(=O)CSc1nnc(C2CC2)[nH]1,,,0.24233544741578902,Sample
A9,0.052952380952380945,Sample,ex_plate2_run1,Compound_0326,example_library,CC(=O)NC(CS)C(=O)O,MUCOMYST,ACETYLCYSTEINE,0.3164370653546836,Sample
A10,0.05328571428571427,Sample,ex_plate2_run1,Compound_0327,example_library,c1ccc(C2c3ccsc3CCN2Cc2nc(-c3ccco3)no2)cc1,,,0.3423726316332957,Sample
A11,0.049428571428571426,Sample,ex_plate2_run1,Compound_0328,example_library,Cc1ccc(N(C(=O)COc2ccc(Br)cc2)C2C=CS(=O)(=O)C2)cc1,,,0.042261078980776745,Sample
A12,0.01423809523809524,Sample,ex_plate2_run1,Compound_0329,example_library,CCCS(=O)(=O)C(C#N)=Cc1ccc(-c2ccc(OC)cc2)s1,,,-2.69579370386135,Hit
A13,0.05671428571428573,Sample,ex_plate2_run1,Compound_0330,example_library,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,,NOBILETIN,0.609138456213316,Sample
A14,0.04709523809523808,Sample,ex_plate2_run1,Compound_0331,example_library,O=C(N1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2,,,-0.1392878849695142,Sample
A15,0.053428571428571416,Sample,ex_plate2_run1,Compound_0332,example_library,Cn1nccc1NC(=O)CCc1ccccc1,,,0.35348787432413004,Sample
A16,0.05823809523809524,Sample,ex_plate2_run1,Compound_0333,example_library,O=C(Sc1nsc(SC(=O)c2ccc(Cl)cc2Cl)n1)c1ccc(Cl)cc1Cl,,,0.7277010449155451,Sample
