Plate,Well,Compound_id,lib_name,SMILES,Compound Name,SecName
ex_plate1,A3,Compound_0001,example_library,Cc1nn(C)c2nc(C(C)C)cc(C(=O)N3CCN(C(=O)C4CC4)CC3)c12,,
ex_plate1,A4,Compound_0002,example_library,CCOC(=O)c1c(S(=O)(=O)N2CCOCC2)c(-c2ccccc2)n(-c2ccccc2)c1C,,
ex_plate1,A5,Compound_0003,example_library,Cn1nc(-c2ccc(C=C(C#N)S(=O)(=O)c3ccc(C(F)(F)F)cn3)s2)cc1C(F)(F)F,,
ex_plate1,A6,Compound_0004,example_library,CC(=O)Oc1ccc2c(=O)c(Oc3ccc(Cl)cc3)c(C(F)(F)F)oc2c1,,
ex_plate1,A7,Compound_0005,example_library,Nc1nc2ccc(Br)cc2s1,,
ex_plate1,A8,Compound_0006,example_library,CCn1nnnc1SCC(=O)c1cc(C)n(C2CC2)c1C,,
ex_plate1,A9,Compound_0007,example_library,CCN1CCN(C(=O)C(C)NCC(c2ccccc2Cl)c2c[nH]c3ccccc23)CC1,,
ex_plate1,A10,Compound_0008,example_library,CCOC(=O)NC(C(=O)NC(C)c1ccccc1C)C(C)C,,
ex_plate1,A11,Compound_0009,example_library,O=C(COC(=O)c1ccco1)NC1CC1,,
ex_plate1,A12,Compound_0010,example_library,CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,JTC-801,
ex_plate1,A13,Compound_0011,example_library,CN(CC(=O)Nc1ccccc1C(=O)NCc1ccccc1)Cc1ccc(Cl)s1,,
ex_plate1,A14,Compound_0012,example_library,O=C(O)c1cc(Br)cs1,,
ex_plate1,A15,Compound_0013,example_library,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,DHA,DOCONEXENT
ex_plate1,A16,Compound_0014,example_library,O=C(NCCCOc1ccccc1)c1cccc(Cl)c1Cl,,
ex_plate1,A17,Compound_0015,example_library,Cc1ccnc(NC(=O)CNC(=O)COc2ccccc2)c1,,
ex_plate1,A18,Compound_0016,example_library,O=[N+]([O-])c1ccc(N2CCCCC2)c2nonc12,,
ex_plate1,A19,Compound_0017,example_library,S=C(NN=C1CCCCCC1)Nc1cccc(Cl)c1,,
ex_plate1,A20,Compound_0018,example_library,O=C(c1ccc(Cn2cnc3ccc(Cl)cc3c2=O)cc1)N1CCCC1,,
ex_plate1,A21,Compound_0019,example_library,O=C1NC2(CCCC2)C(=O)N1CCCC(=O)N1CCc2ccccc21,,
ex_plate1,A22,Compound_0020,example_library,CC(=O)c1sc2sc(Br)c(C)c2c1C,,
ex_plate1,B3,Compound_0021,example_library,O=c1c2ccccc2nc(Sc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])n1-c1ccc(F)cc1,,
ex_plate1,B4,Compound_0022,example_library,Cc1ccc(-c2nc(C)sc2CC(=O)N(C)C(C)c2ccc(-n3cncn3)cc2)cc1,,
ex_plate1,B5,Compound_0023,example_library,CCCCCCn1c(SC)nc2c1c(=O)[nH]c(=O)n2C,,
ex_plate1,B6,Compound_0024,example_library,Brc1cc2c(cc1CSc1nnnn1-c1ccccc1)OCO2,,
ex_plate1,B7,Compound_0025,example_library,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,Levosimendan,
ex_plate1,B8,Compound_0026,example_library,O=C(Sc1cccs1)c1cncc(C#Cc2ccccc2)c1,,
ex_plate1,B10,Compound_0027,example_library,O=C(NCc1nnc2n1CCCCC2)c1ccc(OCC(F)(F)F)nc1,,
ex_plate1,B11,Compound_0028,example_library,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,UROXATRAL,ALFUZOSIN HYDROCHLORIDE
ex_plate1,B12,Compound_0029,example_library,CC(Sc1nc(-c2cccs2)nc2ccccc12)C(=O)NC(C)(C)C,,
ex_plate1,B13,Compound_0030,example_library,CCOC(=O)c1c(C)nn(-c2ccc(N3C(=O)CCC3=O)cc2)c1C,,
ex_plate1,B14,Compound_0031,example_library,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,Gallamine triethiodide (Flaxedil),
ex_plate1,B15,Compound_0032,example_library,CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,MLN2238,
ex_plate1,B16,Compound_0033,example_library,COc1cc(-c2nnc(-c3cccnc3)o2)cc(OC)c1OC,,
ex_plate1,B17,Compound_0034,example_library,CCCCCC(C)NC(=O)CS(=O)(=O)Cc1c(C)noc1C,,
ex_plate1,B18,Compound_0035,example_library,Cc1nnc(Sc2nc3ccc(Cl)cc3s2)n1-c1ccc2c(c1)OCCO2,,
ex_plate1,B19,Compound_0036,example_library,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Imatinib Mesylate,
ex_plate1,B20,Compound_0037,example_library,Cc1ccc(C(=O)n2nc(C)c(Sc3nccn3C)c2C)cc1,,
